section,metric,config,config_ref,subset,rung,statistic,value,n,ci_lo,ci_hi,p_two_sided,pair_id,note
E_fov_ladder,,roma,,base-matchable AND held-out,,denominator_pool,11.0000,63,,,,,pairs passing the base-matchable filter; split.json train excluded
E_fov_ladder,raw,roma/pyramid_v2,roma/direct,base-matchable AND held-out,0.5,delta_SR@10,-0.1111,9,-0.3333,0.0000,0.6934,,direct=0.7778; pyramid_v2=0.6667
E_fov_ladder,tps,roma/pyramid_v2,roma/direct,base-matchable AND held-out,0.5,delta_SR@10,0.0000,9,0.0000,0.0000,1.0000,,direct=0.7778; pyramid_v2=0.7778
E_fov_ladder,raw,roma/pyramid_v2,roma/direct,base-matchable AND held-out,0.25,delta_SR@10,0.1818,11,0.0000,0.4545,0.2226,,direct=0.4545; pyramid_v2=0.6364
E_fov_ladder,tps,roma/pyramid_v2,roma/direct,base-matchable AND held-out,0.25,delta_SR@10,0.0000,11,0.0000,0.0000,1.0000,,direct=0.2727; pyramid_v2=0.2727
E_fov_ladder,raw,roma/pyramid_v2,roma/direct,base-matchable AND held-out,0.1,delta_SR@10,0.0909,11,0.0000,0.2727,0.6930,,direct=0.0909; pyramid_v2=0.1818
E_fov_ladder,tps,roma/pyramid_v2,roma/direct,base-matchable AND held-out,0.1,delta_SR@10,0.0000,11,0.0000,0.0000,1.0000,,direct=0.0000; pyramid_v2=0.0000
E_fov_ladder,,ma_roma,,base-matchable,,denominator_pool,41.0000,63,,,,,pairs passing the base-matchable filter
E_fov_ladder,raw,ma_roma/pyramid_v2,ma_roma/direct,base-matchable,0.5,delta_SR@10,0.0278,36,0.0000,0.0833,0.7264,,direct=0.5000; pyramid_v2=0.5278
E_fov_ladder,tps,ma_roma/pyramid_v2,ma_roma/direct,base-matchable,0.5,delta_SR@10,0.0833,36,0.0000,0.1944,0.0842,,direct=0.4722; pyramid_v2=0.5556
E_fov_ladder,raw,ma_roma/pyramid_v2,ma_roma/direct,base-matchable,0.25,delta_SR@10,0.0250,40,0.0000,0.0750,0.7254,,direct=0.2750; pyramid_v2=0.3000
E_fov_ladder,tps,ma_roma/pyramid_v2,ma_roma/direct,base-matchable,0.25,delta_SR@10,0.0250,40,-0.0500,0.1250,0.7950,,direct=0.1250; pyramid_v2=0.1500
E_fov_ladder,raw,ma_roma/pyramid_v2,ma_roma/direct,base-matchable,0.1,delta_SR@10,0.1500,40,0.0500,0.2750,0.0028,,direct=0.0750; pyramid_v2=0.2250
E_fov_ladder,tps,ma_roma/pyramid_v2,ma_roma/direct,base-matchable,0.1,delta_SR@10,0.0750,40,0.0000,0.1750,0.0868,,direct=0.0250; pyramid_v2=0.1000
E_fov_ladder,,ma_roma,,base-matchable AND held-out,,denominator_pool,22.0000,63,,,,,pairs passing the base-matchable filter; split.json train excluded
E_fov_ladder,raw,ma_roma/pyramid_v2,ma_roma/direct,base-matchable AND held-out,0.5,delta_SR@10,0.0526,19,0.0000,0.1579,0.7250,,direct=0.5789; pyramid_v2=0.6316
E_fov_ladder,tps,ma_roma/pyramid_v2,ma_roma/direct,base-matchable AND held-out,0.5,delta_SR@10,0.1053,19,0.0000,0.2632,0.2412,,direct=0.4737; pyramid_v2=0.5789
E_fov_ladder,raw,ma_roma/pyramid_v2,ma_roma/direct,base-matchable AND held-out,0.25,delta_SR@10,0.0455,22,0.0000,0.1364,0.7162,,direct=0.3182; pyramid_v2=0.3636
E_fov_ladder,tps,ma_roma/pyramid_v2,ma_roma/direct,base-matchable AND held-out,0.25,delta_SR@10,0.0909,22,0.0000,0.2273,0.2446,,direct=0.0909; pyramid_v2=0.1818
E_fov_ladder,raw,ma_roma/pyramid_v2,ma_roma/direct,base-matchable AND held-out,0.1,delta_SR@10,0.1818,22,0.0455,0.3636,0.0234,,direct=0.0455; pyramid_v2=0.2273
E_fov_ladder,tps,ma_roma/pyramid_v2,ma_roma/direct,base-matchable AND held-out,0.1,delta_SR@10,0.0455,22,0.0000,0.1364,0.7394,,direct=0.0000; pyramid_v2=0.0455
E_fov_ladder,,ma_roma_ft,,base-matchable,,denominator_pool,53.0000,63,,,,,pairs passing the base-matchable filter
E_fov_ladder,raw,ma_roma_ft/pyramid_v2,ma_roma_ft/direct,base-matchable,0.5,delta_SR@10,0.0213,47,0.0000,0.0638,0.7542,,direct=0.3617; pyramid_v2=0.3830; fine-tuned on 131/187 pairs (results/split.json train); not comparable on the full 187-pair aggregate
E_fov_ladder,tps,ma_roma_ft/pyramid_v2,ma_roma_ft/direct,base-matchable,0.5,delta_SR@10,0.0426,47,-0.0851,0.1702,0.6546,,direct=0.4255; pyramid_v2=0.4681; fine-tuned on 131/187 pairs (results/split.json train); not comparable on the full 187-pair aggregate
