pair_id,group,subclass,backbone,mode,fov_ratio,scale_ratio,n_gt,n_matches,n_inliers,family,runtime_s,mu_ed,med_ed,p1,p3,p5,p10,mu_ed_tps,med_ed_tps,status,error
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#4,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,4476,homography,3.71,3.069,3.259,0.150,0.450,0.850,1.000,3.591,2.202,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#5,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,3779,affine,3.91,2.828,3.159,0.150,0.450,0.950,1.000,2.933,2.823,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#6,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,6830,homography,3.79,3.555,3.925,0.100,0.400,0.700,1.000,4.214,2.781,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#7,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,5040,affine,3.75,2.702,2.709,0.050,0.600,0.950,1.000,3.675,2.851,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#8,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,4253,homography,3.90,2.746,2.815,0.050,0.600,1.000,1.000,2.982,2.709,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#9,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,6297,homography,3.74,3.061,3.351,0.150,0.350,0.850,1.000,4.023,3.069,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#10,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,5864,homography,3.62,2.341,2.431,0.250,0.700,0.950,1.000,3.746,3.480,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#11,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,4641,affine,3.63,2.810,2.625,0.000,0.600,0.950,1.000,3.102,3.086,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#12,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,4739,affine,3.43,3.010,3.180,0.100,0.400,0.900,1.000,4.198,4.302,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#13,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,5521,homography,3.44,3.390,3.322,0.050,0.450,0.800,1.000,4.426,4.118,ok,
