pair_id,group,subclass,backbone,mode,fov_ratio,scale_ratio,n_gt,n_matches,n_inliers,family,runtime_s,mu_ed,med_ed,p1,p3,p5,p10,mu_ed_tps,med_ed_tps,status,error
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#12,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,0.3692,0.04134,20,6,4,homography+mmi,48.40,770.780,890.331,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#13,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,0.3692,0.04134,20,10,4,homography+mmi,41.65,586.343,552.545,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#14,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,,,20,,,,,,,,,,,,,failed,matcher returned only 1 correspondences (<4)
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#15,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,0.3692,0.04134,20,12,4,homography+mmi,48.29,1517.431,781.393,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#16,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,0.3692,0.04134,20,19,5,homography+mmi,42.33,10892.133,4068.116,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#17,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,,,20,,,,,,,,,,,,,failed,matcher returned only 0 correspondences (<4)
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#18,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,0.3692,0.04134,20,16,5,homography+mmi,48.52,1804.377,1160.700,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#19,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,0.3692,0.04134,20,14,4,homography+mmi,39.97,2561.259,1506.146,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#20,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,,,20,,,,,,,,,,,,,failed,matcher returned only 0 correspondences (<4)
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#21,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,0.3692,0.04134,20,9,4,homography+mmi,44.81,4680.512,3270.278,0.000,0.000,0.000,0.000,,,ok,
