pair_id,group,subclass,backbone,mode,fov_ratio,scale_ratio,n_gt,n_matches,n_inliers,family,runtime_s,mu_ed,med_ed,p1,p3,p5,p10,mu_ed_tps,med_ed_tps,status,error
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#1,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.5503,2.88000,14,161,5,homography,1.00,2636.314,2885.714,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#2,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.5503,2.88000,14,170,5,affine,0.96,126762.777,108855.099,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#3,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.5503,2.88000,14,39,5,homography,1.01,1318.654,1212.424,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#4,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.5503,2.88000,14,75,4,affine,1.00,101403.880,86512.714,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#5,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.5503,2.88000,14,51,6,homography,0.95,811.453,656.296,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_2#0,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.5503,2.88000,18,81,6,homography,1.01,4036.079,4488.020,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_2#1,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.5503,2.88000,18,127,9,affine,0.98,1956.223,1708.003,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_2#2,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.5503,2.88000,18,179,6,homography,0.97,1115.559,1185.267,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_2#3,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.5503,2.88000,18,46,4,affine,1.05,1026.873,1101.444,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_2#4,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.5503,2.88000,18,42,6,homography,1.00,4436.307,2224.803,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_2#5,SerialSectioning,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,sift,direct,0.5503,2.88000,18,142,5,affine,0.96,1325.119,1379.061,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_OM-SEM_Multiscale_0#0,Multiscale,CoNi-AM90_OM-SEM_Multiscale,sift,direct,0.4811,6.20943,11,44,4,homography,0.97,1215.031,844.675,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_OM-SEM_Multiscale_0#1,Multiscale,CoNi-AM90_OM-SEM_Multiscale,sift,direct,0.4140,0.84393,8,20,4,homography,1.27,2665.474,2305.039,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#0,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,7,4,homography,26.12,12107.679,1061.367,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#1,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,,,20,,,,,,,,,,,,,failed,only 3 correspondences
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#2,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,,,20,,,,,,,,,,,,,failed,only 0 correspondences
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#3,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,8,4,homography,29.84,1358.485,827.995,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#4,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,7,5,affine,25.87,926.875,737.784,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#5,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,,,20,,,,,,,,,,,,,failed,only 0 correspondences
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#6,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,8,4,homography,26.00,670.041,727.680,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#7,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,5,3,affine,27.03,1512.321,1329.172,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#8,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,,,20,,,,,,,,,,,,,failed,only 0 correspondences
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#9,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,7,3,affine,26.27,383.596,341.980,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#10,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,6,4,affine,27.54,3754.215,3582.589,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#11,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,,,20,,,,,,,,,,,,,failed,only 0 correspondences
