pair_id,subclass,rung,method,status,err_ed,inlier_ratio,runtime_s
eval_CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning_0#0,CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning,0.1,pyramid_v2,ok,33.038,0.132,2.85
eval_CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning_0#0,CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning,0.1,tta_scale,ok,48.356,0.076,2.82
eval_CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning_0#0,CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning,0.1,tta_guarded,ok,33.038,0.132,2.85
eval_CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning_0#0,CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning,0.05,direct,ok,706.483,0.037,0.61
eval_CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning_0#0,CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning,0.05,pyramid_v2,ok,1165.021,0.026,0.65
eval_CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning_0#0,CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning,0.05,tta_scale,ok,1504.737,0.016,0.62
eval_CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning_0#0,CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning,0.05,tta_guarded,ok,1165.021,0.026,0.65
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,0.25,direct,ok,30.923,0.072,0.99
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,0.25,pyramid_v2,ok,23.110,0.173,3.74
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,0.25,tta_scale,ok,26.638,0.084,1.96
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,0.25,tta_guarded,ok,23.110,0.173,3.74
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,0.1,direct,ok,154.863,0.019,0.84
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,0.1,pyramid_v2,ok,331.656,0.018,0.90
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,0.1,tta_scale,ok,680.057,0.010,0.88
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,0.1,tta_guarded,ok,331.656,0.018,0.90
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,0.05,direct,ok,819.320,0.010,0.80
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,0.05,pyramid_v2,ok,368.407,0.016,2.68
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,0.05,tta_scale,ok,677.885,0.009,0.86
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,0.05,tta_guarded,ok,368.407,0.016,2.68
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,0.25,direct,ok,553.056,0.033,0.63
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,0.25,pyramid_v2,ok,610.367,0.052,0.65
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,0.25,tta_scale,ok,398.998,0.025,0.67
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,0.25,tta_guarded,ok,610.367,0.052,0.65
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,0.1,direct,ok,736.716,0.049,0.60
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,0.1,pyramid_v2,ok,671.479,0.044,1.18
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,0.1,tta_scale,ok,577.728,0.154,1.83
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,0.1,tta_guarded,ok,577.728,0.154,1.83
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,0.05,direct,ok,607.557,0.184,0.52
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,0.05,pyramid_v2,ok,728.978,0.246,1.53
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,0.05,tta_scale,ok,856.896,0.080,1.09
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,0.05,tta_guarded,ok,728.978,0.246,1.53
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization,0.25,direct,ok,53.196,0.075,0.93
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization,0.25,pyramid_v2,ok,292.691,0.068,0.97
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization,0.25,tta_scale,ok,52.265,0.184,2.79
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization,0.25,tta_guarded,ok,52.265,0.184,2.79
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization,0.1,direct,ok,1227.286,0.012,0.78
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization,0.1,pyramid_v2,ok,539.465,0.017,2.44
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization,0.1,tta_scale,ok,1544.474,0.005,0.83
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization,0.1,tta_guarded,ok,539.465,0.017,2.44
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization,0.05,direct,ok,1436.004,0.016,0.72
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization,0.05,pyramid_v2,ok,514.971,0.047,2.23
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization,0.05,tta_scale,ok,565.701,0.056,2.06
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization,0.05,tta_guarded,ok,565.701,0.056,2.06
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization,0.25,direct,ok,59.188,0.080,1.09
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization,0.25,pyramid_v2,ok,1569.724,0.007,2.17
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization,0.25,tta_scale,ok,29.244,0.051,3.39
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization,0.25,tta_guarded,ok,29.244,0.051,3.39
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization,0.1,direct,ok,2146.426,0.004,1.05
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization,0.1,pyramid_v2,ok,1175.520,0.005,1.99
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization,0.1,tta_scale,ok,1758.874,0.006,1.15
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization,0.1,tta_guarded,ok,1758.874,0.006,1.15
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization,0.05,direct,ok,2081.535,0.008,1.07
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization,0.05,pyramid_v2,ok,1677.917,0.006,2.05
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization,0.05,tta_scale,ok,2929.816,0.012,1.16
eval_MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization_0#0,MoTaTiZrHf-HEA-DDRX-900C_TEM_largeFOV-DislocationCharacterization,0.05,tta_guarded,ok,2929.816,0.012,1.16
eval_TRIP1-Bainitic_LOM_SEM_EBSD_Multiscale_0#0,TRIP1-Bainitic_LOM_SEM_EBSD_Multiscale,0.25,direct,ok,12.564,0.970,0.89
eval_TRIP1-Bainitic_LOM_SEM_EBSD_Multiscale_0#0,TRIP1-Bainitic_LOM_SEM_EBSD_Multiscale,0.25,pyramid_v2,ok,11.797,0.937,1.79
