pair_id,nmi,n_overlap_px
eval_TRIP1-Bainitic_LOM_SEM_EBSD_Multiscale_0#5,0.021498,81216
eval_TRIP1-Bainitic_LOM_SEM_EBSD_Multiscale_0#6,0.047267,81216
eval_Ta-AM-Spalled_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,0.155543,125661
eval_Ta-AM-Spalled_SEM-BSE_EBSD_SameSliceSerialSectioning_0#1,0.085059,125661
eval_Ta-AM-Spalled_SEM-BSE_EBSD_SameSliceSerialSectioning_0#2,0.187296,125661
eval_Ta-AM-Spalled_SEM-BSE_EBSD_SameSliceSerialSectioning_1#0,0.104730,125471
eval_Ta-AM-Spalled_SEM-BSE_EBSD_SameSliceSerialSectioning_1#1,0.072614,125471
eval_Ta-AM-Spalled_SEM-BSE_EBSD_SameSliceSerialSectioning_1#2,0.117469,125471
eval_Ta-AM-Spalled_SEM-BSE_EBSD_SameSliceSerialSectioning_2#0,0.144085,121348
eval_Ta-AM-Spalled_SEM-BSE_EBSD_SameSliceSerialSectioning_2#1,0.082035,121348
eval_Ta-AM-Spalled_SEM-BSE_EBSD_SameSliceSerialSectioning_2#2,0.161729,121348
eval_Ti3AlC2-MAX-Phase_TEM_DislocationCharacterization_0#0,0.085091,58758
eval_Ti3AlC2-MAX-Phase_TEM_DislocationCharacterization_0#1,0.013637,86187
eval_Ti3AlC2-MAX-Phase_TEM_DislocationCharacterization_0#2,0.170699,32044
eval_X2CrNi12-Ferritic_SEM-SE-Stitch_EBSD_Fatigue-SameSlice_0#0,0.570580,102287
eval_X2CrNi12-Ferritic_SEM-SE-Stitch_EBSD_Fatigue-SameSlice_0#1,0.197629,90564
eval_X2CrNi12-Ferritic_SEM-SE-Stitch_EBSD_Fatigue-SameSlice_0#2,0.140310,90564
eval_X2CrNi12-Ferritic_SEM-SE-Stitch_EBSD_Fatigue-SameSlice_0#3,0.163124,90701
eval_X2CrNi12-Ferritic_SEM-SE-Stitch_EBSD_Fatigue-SameSlice_0#4,0.111619,90701
